"Participant","Condition","Trial","Age","Gender","Group","MovementTime","GrabStart","GrabEnd","Color"
"16","co","2",18,"m","e",739.1677,637959208736405358,637959208743797035,"gray"
"16","co","2",18,"m","e",228.0516,637959208800659894,637959208802940410,"red"
"16","co","2",18,"m","e",196.0459,637959208823415043,637959208825375502,"red"
"16","co","2",18,"m","e",127.0301,637959208844879895,637959208846150196,"red"
"16","co","2",18,"m","e",208.0484,637959208883880357,637959208885960841,"gray"
"16","co","2",18,"m","e",361.0842,637959208909736201,637959208913347043,"gray"
"16","co","2",18,"m","e",336.0773,637959208940748934,637959208944109707,"gray"
"16","co","2",18,"m","e",306.0701,637959208981441431,637959208984502132,"red"
"16","co","2",18,"m","e",118.0293,637959209006237032,637959209007417325,"red"
"16","co","2",18,"m","e",137.0328,637959209028482071,637959209029852399,"gray"
